,Indeed,Monster,SimplyHired
Data Scientist,4343,2340,3248
Python,3314,1601,2473
SQL,2386,1238,1813
R,2309,1208,1704
Spark,1133,629,876
Java,1075,562,758
Tableau,1000,479,745
AWS,962,458,717
Hadoop,922,548,726
Scala,605,333,437
TensorFlow,598,308,457
C++,578,263,418
SAS,576,353,466
Hive,527,280,375
Azure,458,354,375
Excel,431,211,357
Scikit-learn,388,183,283
Matlab,374,186,309
PyTorch,355,166,258
C,352,263,284
NoSQL,351,165,277
Pandas,342,191,299
Linux,340,219,283
Docker,321,82,196
NumPy,281,176,243
Git,274,113,231
Javascript,249,200,195
Keras,221,150,194
GCP,210,132,135
MySQL,179,70,151
SPSS,178,101,141
Kubernetes,166,74,133
MongoDB,151,79,106
C#,150,94,118
Pig,139,59,108
Hbase,126,62,97
Google Cloud,123,82,98
Databricks,109,68,88
Perl,108,73,94
Cassandra,106,25,83
Airflow,92,46,78
D3,84,31,72
postgresql,84,105,59
BigQuery,60,25,53
Alteryx,58,44,49
Caffe,57,28,42
Fastai,1,0,1
